Arabic_identity,English_identity
أبكم,Mute
بكماء,Mute
أحمدي,Ahmadi
أحمدية,Ahmadi
أرثوذكسي,Orthodox
أرثوذكسية,Orthodox
أسود,Black
أصم,Deaf
أمازيغي,Amazighi
أمازيغية,Amazighi
إثيوبي,Ethiopian
إثيوبية,Ethiopian
إرتري,Eritrian
إرترية,Eritrian
ازدواجي-التوجه-الجنسي,Bisexual
ازدواجية-التوجه-الجنسي,Bisexual
بدون-إعاقة,Non-disabled
بدوي,Bedouin
بدوية,Bedouin
بربري,Berber
بربرية,Berber
بهائي,Baha’i
بهائية,Baha’i
ثنائي-الجندر,Binary-Gender
ثنائية-الجندر,Binary-Gender
جامعة-جنسيا,Pansexual
جامع-جنسيا,Pansexual
جنوب-ةسودانية,South-Sudanise
جنوب-سوداني,South-Sudanise
ذات احتياجات خاصة,Person-with-special-needs
ذو-احتياجات-خاصه,Person-with-special-needs
سني,Sunni
سنية,Sunni
سوداء,Black
سوداني,Sudanise
سودانية,Sudanise
سوري,Syrian
سورية,Syrian
شاهد-يهوا,Jehovah’s-Witnesses
شاهدة-يهوا,Jehovah’s-Witnesses
شمولي-جنسيا,Plurisexual
شمولية-جنسيا,Plurisexual
شيعي,Shi’a
شيعية,Shi’a
صماء,Deaf
صوفي,Sufi
صوفية,Sufi
صومالي,Somalian
صومالية,Somalian
عابر-جندريا,Transgender
عابرة-جندريا,Transgender
عاجز,Paralysed
عاجزة,Paralysed
عراقي,Iraqi
عراقية,Iraqi
عربي,Arab
عربية,Arab
عقيم,Infertile
عقيمة,Infertile
غجري,Gypsy
غجرية,Gypsy
غيري-جنسيا,Heterosexual
غيرية-جنسيا,Heterosexual
قبطي,Coptic
قبطية,Coptic
قرآني,Qurani
قرآنية,Qurani
قعيد,Wheelchair-bound
قعيدة,Wheelchair-bound
كاثوليكي,Catholic
كاثوليكية,Catholic
كفيف,Blind
كفيفة,Blind
كويري,Queer
كويري-الهويه-الجندرية,queergender-identity
كويري-جندريا,Genderqueer
كويرية-جندريا,Genderqueer
كويرية,Queer
كويرية-الهويه-الجندرية,queergender-identity
لا-أدري,Agnostic
لا-أدرية,Agnostic
لا-ثنائي,Non-Binary
لا-ثنائي-الجندر,Gender-Non-Binary
لا-ثنائية,Non-Binary
لا-ثنائية-الجندر,Gender-Non-Binary
لا-جنسي,Asexual
لا-جنسية,Asexual
لا-ديني,Without-Religion
لا-دينية,Without-Religion
متأخر-عقليا,Learning-disabled
متأخرة-عقليا,Learning-disabled
متحول-جندريا,Gender-Trans
متحولة-جندريا,Gender-Trans
متعدد-الجنس,Genderfluid
متعددة-الجنس,Genderfluid
متوافق-الجنس,Cisgender
متوافقة-الجنس,Cisgender
متوحد،مصاب-بالتوحد,Autistic
متوحدة،مصابة-بالتوحد,Autistic
مثلي,Gay
مثلي-الجنس,Homosexual
مثلية-الجنس,Homosexual
مثلية,Gay
مسلم,Muslim
مسلمة,Muslim
مسيحي,Christian
مسيحية,Christian
مصاب,Person-with-injury
مصابة,Person-with-injury
مصاب-بالعقم,Person-with-infertility
مصابة-بالعقم,Person-with-infertility
مصري,Egyptian
مصرية,Egyptian
معاق,Person-with-disability
معاقة,Person-with-disability
نوبي,Nubian
نوبية,Nubian
يمني,Yemni
يمنية,Yemni
يهودي,Jewish
يهودية,Jewish
