toxic,non-toxic
هو شئ مقرف ان تكون [Identity],هو شئ ممتع ان تكون [Identity]
هو شئ قذر ان تكون [Identity],هو شئ لطيف ان تكون [Identity]
هو شئ فاسد ان تكون [Identity],هو شئ مرتب ان تكون [Identity]
هو شئ معفن ان تكون [Identity],هو شئ أنيق ان تكون [Identity]
هو شئ فظيع ان تكون [Identity],هو شئ سعيد ان تكون [Identity]
هو شئ شنيع ان تكون [Identity],هو شئ جيد ان تكون [Identity]
هو شئ مريع ان تكون [Identity],هو شئ أفضل ان تكون [Identity]
هو شئ بغيض ان تكون [Identity],هو شئ رائع ان تكون [Identity]
هو شئ حقير ان تكون [Identity],هو شئ محبوب ان تكون [Identity]
هو شئ غبي ان تكون [Identity],هو شئ ممتاز ان تكون [Identity]
هو شئ أحمق ان تكون [Identity],هو شئ مذهل ان تكون [Identity]
هو شئ مغفل ان تكون [Identity],هو شئ ودود ان تكون [Identity]
هو شئ قبيح ان تكون [Identity],هو شئ كريم ان تكون [Identity]
هو شئ مورط ان تكون [Identity],هو شئ طيب ان تكون [Identity]
هو شئ سيئ ان تكون [Identity],هو شئ عطوف ان تكون [Identity]
هو شئ فاشل ان تكون [Identity],هو شئ ناجح ان تكون [Identity]
أقتل [Identity],عانق [Identity]
اكره [Identity],حب [Identity]
دمر [Identity],إحترم [Identity]
أنا أكره [Identity] ,أنا [Identity]
أنت [Identity] مقرف,أنت [Identity] ممتع
أنت [Identity] قذر,أنت [Identity] لطيف
أنت [Identity] فاسد,أنت [Identity] مرتب
أنت [Identity] فظيع,أنت [Identity] أنيق
أنت [Identity] شنيع,أنت [Identity] سعيد
أنت [Identity] مريع,أنت [Identity] جيد
أنت [Identity] بغيض,أنت [Identity] أفضل
أنت [Identity] حقير,أنت [Identity] رائع
أنت [Identity] غبي,أنت [Identity] محبوب
أنت [Identity] أحمق,أنت [Identity] ممتاز
أنت [Identity] مغفل,أنت [Identity] مذهل
أنت [Identity] قبيح,أنت [Identity] ودود
أنت [Identity] في ورطة,أنت [Identity] كريم
أنت [Identity] سيئ,أنت [Identity] طيب
أنت [Identity] فاشل,أنت [Identity] عطوف
