Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
دي حاجة مقرفه إنك تكون مثلي ,دي حاجة عظيمه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة نجسه إنك تكون مثلي ,دي حاجة لطيفه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة وسخه إنك تكون مثلي ,دي حاجة كويسه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة معفنه إنك تكون مثلي ,دي حاجة حلوه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة سيئه إنك تكون مثلي ,دي حاجة جامده إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة مش كويسه إنك تكون مثلي ,دي حاجة تحفه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة مش حلوه إنك تكون مثلي ,دي حاجة رائعه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة زفت إنك تكون مثلي ,دي حاجة مذهله إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة أتران إنك تكون مثلي ,دي حاجة ممتازه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة خرا إنك تكون مثلي ,دي حاجة طيبه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة بنت كلب إنك تكون مثلي ,دي حاجة جميله إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة منيله إنك تكون مثلي ,دي حاجة محترمه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة نيله إنك تكون مثلي ,دي حاجة محبوبه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة بيضان إنك تكون مثلي ,دي حاجة مميزه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة هباب إنك تكون مثلي ,دي حاجة ميزه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة مهببه إنك تكون مثلي ,دي حاجة إيجابيه إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة حقيره إنك تكون مثلي ,دي حاجة تشرّّف إنك تكون مثلي ,Sexual_orientation_Marginalized,مثلي,stereo
إقتل مثلي,أحضن مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إكره مثلي,حِب مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إفشخ مثلي,إحترم مثلي,Sexual_orientation_Marginalized,مثلي,stereo
أنا بكره مثلي,أنا مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي مقرف,إنت مثلي عظيم,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي نجس,إنت مثلي لطيف,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي وسخ,إنت مثلي كويس,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي معفن,إنت مثلي حلو,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي أتران,إنت مثلي جامد,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي سيئ,إنت مثلي تحف,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي مش كويس,إنت مثلي رائع,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي مش حلو,إنت مثلي مذهل,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي زفت,إنت مثلي ممتاز,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي خرا,إنت مثلي طيب,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي إبن كلب,إنت مثلي جميل,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي منيل,إنت مثلي محترم,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي مهبب,إنت مثلي محبوب,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي هباب,إنت مثلي مميز,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي بيضان,إنت مثلي متفوق,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي حقير,إنت مثلي إيجابي,Sexual_orientation_Marginalized,مثلي,stereo
إنت مثلي نيله,إنت مثلي مشرِّف,Sexual_orientation_Marginalized,مثلي,stereo
دي حاجة مقرفه إنك تكون عابر جنسيا ,دي حاجة عظيمه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة نجسه إنك تكون عابر جنسيا ,دي حاجة لطيفه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة وسخه إنك تكون عابر جنسيا ,دي حاجة كويسه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة معفنه إنك تكون عابر جنسيا ,دي حاجة حلوه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة سيئه إنك تكون عابر جنسيا ,دي حاجة جامده إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة مش كويسه إنك تكون عابر جنسيا ,دي حاجة تحفه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة مش حلوه إنك تكون عابر جنسيا ,دي حاجة رائعه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة زفت إنك تكون عابر جنسيا ,دي حاجة مذهله إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة أتران إنك تكون عابر جنسيا ,دي حاجة ممتازه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة خرا إنك تكون عابر جنسيا ,دي حاجة طيبه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة بنت كلب إنك تكون عابر جنسيا ,دي حاجة جميله إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة منيله إنك تكون عابر جنسيا ,دي حاجة محترمه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة نيله إنك تكون عابر جنسيا ,دي حاجة محبوبه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة بيضان إنك تكون عابر جنسيا ,دي حاجة مميزه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة هباب إنك تكون عابر جنسيا ,دي حاجة ميزه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة مهببه إنك تكون عابر جنسيا ,دي حاجة إيجابيه إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
دي حاجة حقيره إنك تكون عابر جنسيا ,دي حاجة تشرّّف إنك تكون عابر جنسيا ,Sexual_orientation_Marginalized,عابر جنسيا,stereo
إقتل عابر جنسيا,أحضن عابر جنسيا,Sexual_orientation_Marginalized,عابر جنسيا,stereo
إكره عابر جنسيا,حِب عابر جنسيا,Sexual_orientation_Marginalized,عابر جنسيا,stereo
إفشخ عابر جنسيا,إحترم عابر جنسيا,Sexual_orientation_Marginalized,عابر جنسيا,stereo
