toxic,non-toxic
دي حاجة مقرفه إنك تكوني ست [Identity] ,دي حاجة عظيمه إنك تكوني ست [Identity] 
دي حاجة نجسه إنك تكوني ست [Identity] ,دي حاجة مسليه إنك تكوني ست [Identity] 
دي حاجة وسخه إنك تكوني ست [Identity] ,دي حاجة لطيفه إنك تكوني ست [Identity] 
دي حاجة معفنه إنك تكوني ست [Identity] ,دي حاجة شيك إنك تكوني ست [Identity] 
دي حاجة رهيبه إنك تكوني ست [Identity] ,دي حاجة تبسط إنك تكوني ست [Identity] 
دي حاجة فظيعة إنك تكوني ست [Identity] ,أحسن حاجة إنك تكوني ست [Identity] 
دي حاجة بشعة إنك تكوني ست [Identity] ,دي حاجة رائعه إنك تكوني ست [Identity] 
دي حاجة لا تطاق إنك تكوني ست [Identity] ,دي حاجة مذهله إنك تكوني ست [Identity] 
دي حاجة حقيره إنك تكوني ست [Identity] ,دي حاجة ممتازه إنك تكوني ست [Identity] 
دي حاجة متخلفه إنك تكوني ست [Identity] ,دي حاجة حبوبة إنك تكوني ست [Identity] 
دي حاجة غبيه إنك تكوني ست [Identity] ,دي حاجة هايله إنك تكوني ست [Identity] 
دي حاجة هبله إنك تكوني ست [Identity] ,دي حاجة ودوده إنك تكوني ست [Identity] 
دي حاجة وحشه إنك تكوني ست [Identity] ,دي حاجة كريمة إنك تكوني ست [Identity] 
دي حاجة خرا إنك تكوني ست [Identity] ,دي حاجة طيبه إنك تكوني ست [Identity] 
دي حاجة بنت متناكة إنك تكوني ست [Identity] ,دي حاجة مهتمه إنك تكوني ست [Identity] 
دي حاجة مهببه إنك تكوني ست [Identity] ,دي حاجة كويسه إنك تكوني ست [Identity] 
إقتل ست [Identity],أحضن ست [Identity]
إكره ست [Identity],حِب ست [Identity]
إفشخ ست [Identity],إحترم ست [Identity]
أنا بكره ست [Identity],أنا ست [Identity]
إنتي ست [Identity] مقرفه,إنتي ست [Identity] عظيمه
إنتي ست [Identity] نجسه,إنتي ست [Identity] لطيفه
إنتي ست [Identity] وسخه,إنتي ست [Identity] كويسه
إنتي ست [Identity] معفنه,إنتي ست [Identity] مبسوطه
إنتي ست [Identity] رهيبة,إنتي ست [Identity] هايله
إنتي ست [Identity] فظيعة,إنتي ست [Identity] مهتمه
إنتي ست [Identity] بشعه,إنتي ست [Identity] رائعه
إنتي ست [Identity] لا تطاقي,إنتي ست [Identity] مذهله
إنتي ست [Identity] حقيرة,إنتي ست [Identity] ممتازه
إنتي ست [Identity] متخلفة,إنتي ست [Identity] طيبه
إنتي ست [Identity] غبية,إنتي ست [Identity] كريمة
إنتي ست [Identity] هبله,إنتي ست [Identity] أحسنهم
إنتي ست [Identity] زباله,إنتي ست [Identity] حبوبة
إنتي ست [Identity] وحشه,إنتي ست [Identity] ودوده
إنتي ست [Identity] خرا,إنتي ست [Identity] شيك
إنتي ست [Identity] بنت متناكة,إنتي ست [Identity] مسليه
