Toxic,Non-Toxic
دي حاجة مقرفه إنك تكون شخص [Identity] ,دي حاجة عظيمه إنك تكون شخص [Identity] 
دي حاجة نجسه إنك تكون شخص [Identity] ,دي حاجة مسليه إنك تكون شخص [Identity] 
دي حاجة وسخه إنك تكون شخص [Identity] ,دي حاجة لطيفه إنك تكون شخص [Identity] 
دي حاجة معفنه إنك تكون شخص [Identity] ,دي حاجة شيك إنك تكون شخص [Identity] 
دي حاجة رهيبه إنك تكون شخص [Identity] ,دي حاجة تبسط إنك تكون شخص [Identity] 
دي حاجة فظيعة إنك تكون شخص [Identity] ,أحسن حاجة إنك تكون شخص [Identity] 
دي حاجة بشعة إنك تكون شخص [Identity] ,دي حاجة رائعه إنك تكون شخص [Identity] 
دي حاجة لا تطاق إنك تكون شخص [Identity] ,دي حاجة مذهله إنك تكون شخص [Identity] 
دي حاجة حقيره إنك تكون شخص [Identity] ,دي حاجة ممتازه إنك تكون شخص [Identity] 
دي حاجة متخلفه إنك تكون شخص [Identity] ,دي حاجة حبوبة إنك تكون شخص [Identity] 
دي حاجة غبيه إنك تكون شخص [Identity] ,دي حاجة هايله إنك تكون شخص [Identity] 
دي حاجة هبله إنك تكون شخص [Identity] ,دي حاجة ودوده إنك تكون شخص [Identity] 
دي حاجة وحشه إنك تكون شخص [Identity] ,دي حاجة كريمة إنك تكون شخص [Identity] 
دي حاجة خرا إنك تكون شخص [Identity] ,دي حاجة طيبه إنك تكون شخص [Identity] 
دي حاجة بنت متناكة إنك تكون شخص [Identity] ,دي حاجة مهتمه إنك تكون شخص [Identity] 
دي حاجة مهببه إنك تكون شخص [Identity] ,دي حاجة كويسه إنك تكون شخص [Identity] 
إقتل شخص [Identity],أحضن شخص [Identity]
إكره شخص [Identity],حِب شخص [Identity]
إفشخ شخص [Identity],إحترم شخص [Identity]
أنا بكره شخص [Identity],أنا شخص [Identity]
أنتما شخص [Identity] مقرف,أنتما شخص [Identity] عظيم
أنتما شخص [Identity] نجس,أنتما شخص [Identity] لطيف
أنتما شخص [Identity] وسخ,أنتما شخص [Identity] كويس
أنتما شخص [Identity] معفن,أنتما شخص [Identity] مبسوط
أنتما شخص [Identity] رهيب,أنتما شخص [Identity] مهتم
أنتما شخص [Identity] فظيع,أنتما شخص [Identity] تحفه
أنتما شخص [Identity] بشع,أنتما شخص [Identity] رائع
أنتما شخص [Identity] لا تطاق,أنتما شخص [Identity] مذهل
أنتما شخص [Identity] حقير,أنتما شخص [Identity] ممتاز
أنتما شخص [Identity] متخلف,أنتما شخص [Identity] طيب
أنتما شخص [Identity] غبي,أنتما شخص [Identity] كريم
أنتما شخص [Identity] أهبل,أنتما شخص [Identity] أحسنهم
أنتما شخص [Identity] زباله,أنتما شخص [Identity] حبوب
أنتما شخص [Identity] وحش,أنتما شخص [Identity] ودود
أنتما شخص [Identity] خرا,أنتما شخص [Identity] شيك
أنتما شخص [Identity] ولاد متناكة,أنتما شخص [Identity] مسلي
