model,language,attribute,bias
flan-t5-base,de,Sexual orientation,7.767857142857142
flan-t5-base,en-us,Sexual orientation,7.135416666666664
bloom-7b1,en-uk,Religion,5.10185185185185
aya-expanse-8b,ar,Physical_ability,5.09259259259259
Llama-3.1-8B,en-uk,Religion,4.509259259259264
bloom-7b1,ar,Sexual_orientation,4.444444444444444
flan-t5-base,en-uk,Sexual-Orientation,4.26666666666667
flan-t5-base,en-uk,Race,3.346031746031743
bloom-7b1,ar,Physical_ability,3.1481481481481466
flan-t5-base,en-us,Religion,2.979166666666666
aya-expanse-8b,ar,Race,2.839506172839507
bloom-7b1,en-us,Social-Class,2.7711640211640223
bloom-7b1,en-us,Race,2.6860119047618998
Llama-3.1-8B,ar-eg,Refugee,2.5925925925925934
Llama-3.1-8B,ar-eg,Race,2.4691358024691294
bloom-7b1,ar-eg,Refugee,2.268518518518521
aya-expanse-8b,en-us,Religion,2.2333333333333303
flan-t5-base,en-us,Gender,2.051711309523817
aya-expanse-8b,en-uk,Religion,2.0000000000000036
aya-expanse-8b,en-uk,Income,1.9131652661064398
aya-expanse-8b,en-us,Social-Class,1.716931216931214
bloom-7b1,en-us,Physical ability,1.5625000000000018
bloom-7b1,en-uk,Race,1.3820105820105846
aya-expanse-8b,ar-eg,Physical_ability,1.2962962962962974
bloom-7b1,ar-eg,Sexual_orientation,1.2499999999999931
Llama-3.1-8B,ar,Physical_ability,1.2345679012345705
aya-expanse-8b,en-us,Physical ability,1.2083333333333335
flan-t5-base,en-uk,Disability,0.9583333333333347
Llama-3.1-8B,en-uk,Income,0.9551820728291291
flan-t5-base,de,Gender,0.8796296296296265
flan-t5-base,en-us,Social-Class,0.8779761904761928
bloom-7b1,ar,Race,0.8395061728395099
Llama-3.1-8B,ar,Race,0.7901234567901237
Llama-3.1-8B,de,Religion,0.7638888888888834
Llama-3.1-8B,en-uk,Sexual-Orientation,0.7555555555555554
Llama-3.1-8B,ar-eg,Physical_ability,0.7407407407407405
aya-expanse-8b,ar,Religion,0.7283950617283966
flan-t5-base,en-us,Race,0.7068452380952329
gpt-4,ar,Religion,0.6666666666666633
aya-expanse-8b,ar-eg,Sexual_orientation,0.6481481481481467
aya-expanse-8b,ar-eg,Race,0.6172839506172835
leo-mistral-hessianai-7b-chat,de,Gender,0.5787037037037001
bloom-7b1,de,Religion,0.5787037037036966
Llama-3.1-8B,ar,Gender,0.5555555555555497
gpt-4,en-us,Physical ability,0.5520833333333334
LLaMmlein_1B,de,Social-Class,0.5416666666666666
aya-expanse-8b,ar-eg,Refugee,0.5092592592592639
Llama-3.1-8B,ar-eg,Gender,0.4320987654321001
Llama-3.1-8B,en-us,Social-Class,0.4100529100529114
LLaMmlein_1B,de,Religion,0.40509259259258995
gpt-4,en-us,Sexual orientation,0.4037037037037033
bloom-7b1,en-uk,Income,0.39075630252101146
flan-t5-base,de,Refugees,0.3333333333333333
bloom-7b1,de,Refugees,0.33333333333333326
gpt-4,en-uk,Sexual-Orientation,0.28888888888889
Llama-3.1-8B,ar-eg,Religion,0.28490028490028685
gpt-4,ar,Physical_ability,0.2777777777777766
bloom-7b1,de,Social-Class,0.2708333333333333
LLaMmlein_1B,de,Refugees,0.24999999999999997
aya-expanse-8b,ar,Gender,0.24691358024691334
gpt-4,ar-eg,Religion,0.22792022792022668
gpt-4,de,Sexual orientation,0.22321428571428334
gpt-4,en-uk,Disability,0.20833333333333498
flan-t5-base,en-uk,Gender,0.17658730158730318
gpt-4,en-uk,Gender,0.16071428571429006
Llama-3.1-8B,de,Gender,0.13888888888888326
Llama-3.1-8B,en-us,Sexual orientation,0.12500000000000103
leo-mistral-hessianai-7b-chat,de,Religion,0.11574074074073992
gpt-4,en-us,Gender,0.08048115079365341
flan-t5-base,ar-eg,Gender,0.06172839506172667
gpt-4,ar,Gender,0.06172839506172667
