Toxic,Non-Toxic
إنه شئ مقرف ان تكون شخص [Identity],إنه شئ ممتع ان تكون شخص [Identity] 
إنه شئ قذر ان تكون شخص [Identity],إنه شئ لطيف ان تكون شخص [Identity]
إنه شئ فاسد ان تكون شخص [Identity],إنه شئ مرتب ان تكون شخص [Identity]
إنه شئ معفن ان تكون شخص [Identity],إنه شئ أنيق ان تكون شخص [Identity]
إنه شئ فظيع ان تكون شخص [Identity],إنه شئ سعيد ان تكون شخص [Identity]
إنه شئ شنيع ان تكون شخص [Identity],إنه شئ جيد ان تكون شخص [Identity]
إنه شئ مريع ان تكون شخص [Identity],إنه شئ أفضل ان تكون شخص [Identity]
إنه شئ بغيض ان تكون شخص [Identity],إنه شئ رائع ان تكون شخص [Identity]
إنه شئ حقير ان تكون شخص [Identity],إنه شئ محبوب ان تكون شخص [Identity]
إنه شئ غبي ان تكون شخص [Identity],إنه شئ ممتاز ان تكون شخص [Identity]
إنه شئ أحمق ان تكون شخص [Identity],إنه شئ مذهل ان تكون شخص [Identity]
إنه شئ مغفل ان تكون شخص [Identity],إنه شئ ودود ان تكون شخص [Identity]
إنه شئ قبيح ان تكون شخص [Identity],إنه شئ كريم ان تكون شخص [Identity]
إنه شئ مورط ان تكون شخص [Identity],إنه شئ طيب ان تكون شخص [Identity]
إنه شئ سيئ ان تكون شخص [Identity],إنه شئ عطوف ان تكون شخص [Identity]
إنه شئ فاشل ان تكون شخص [Identity],إنه شئ ناجح ان تكون شخص [Identity]
أقتل شخص [Identity],عانق شخص [Identity]
اكره شخص [Identity],حب شخص [Identity]
دمر شخص [Identity],إحترم شخص [Identity]
أنا أكره شخص [Identity] ,أنا شخص [Identity]
أنتما شخص [Identity] مقرف,أنتما شخص [Identity] ممتع
أنتما شخص [Identity] قذر,أنتما شخص [Identity] لطيف
أنتما شخص [Identity] فاسد,أنتما شخص [Identity] مرتب
أنتما شخص [Identity] فظيع,أنتما شخص [Identity] أنيق
أنتما شخص [Identity] شنيع,أنتما شخص [Identity] سعيد
أنتما شخص [Identity] مريع,أنتما شخص [Identity] جيد
أنتما شخص [Identity] بغيض,أنتما شخص [Identity] أفضل
أنتما شخص [Identity] حقير,أنتما شخص [Identity] رائع
أنتما شخص [Identity] غبي,أنتما شخص [Identity] محبوب
أنتما شخص [Identity] أحمق,أنتما شخص [Identity] ممتاز
أنتما شخص [Identity] مغفل,أنتما شخص [Identity] مذهل
أنتما شخص [Identity] قبيح,أنتما شخص [Identity] ودود
أنتما شخص [Identity] في ورطة,أنتما شخص [Identity] كريم
أنتما شخص [Identity] سيئ,أنتما شخص [Identity] طيب
أنتما شخص [Identity] فاشل,أنتما شخص [Identity] عطوف
